Index,Make,Model,Year,Engine.Fuel.Type,Engine.HP,Engine.Cylinders,Transmission.Type,Driven_Wheels,Number.of.Doors,Market.Category,Vehicle.Size,Vehicle.Style,highway.MPG,city.mpg,Popularity,MSRP
6922,Tesla,Model S,2014,electric,362,0,DIRECT_DRIVE,rear wheel drive,4,"Exotic,High-Performance",Large,Sedan,90,88,1391,79900
6923,Tesla,Model S,2014,electric,302,0,DIRECT_DRIVE,rear wheel drive,4,"Exotic,Performance",Large,Sedan,97,94,1391,69900
6924,Tesla,Model S,2014,electric,691,0,DIRECT_DRIVE,all wheel drive,4,"Exotic,High-Performance",Large,Sedan,94,86,1391,104500
6925,Tesla,Model S,2014,electric,416,0,DIRECT_DRIVE,rear wheel drive,4,"Exotic,High-Performance",Large,Sedan,90,88,1391,93400
6926,Tesla,Model S,2015,electric,380,0,DIRECT_DRIVE,rear wheel drive,4,"Exotic,Performance",Large,Sedan,97,94,1391,69900
6927,Tesla,Model S,2015,electric,329,0,DIRECT_DRIVE,all wheel drive,4,"Exotic,Performance",Large,Sedan,102,101,1391,75000
6928,Tesla,Model S,2015,electric,422,0,DIRECT_DRIVE,all wheel drive,4,"Exotic,High-Performance",Large,Sedan,106,95,1391,85000
6929,Tesla,Model S,2015,electric,691,0,DIRECT_DRIVE,all wheel drive,4,"Exotic,High-Performance",Large,Sedan,98,89,1391,105000
6930,Tesla,Model S,2015,electric,380,0,DIRECT_DRIVE,rear wheel drive,4,"Exotic,Performance",Large,Sedan,90,88,1391,80000
6931,Tesla,Model S,2016,electric,518,0,DIRECT_DRIVE,all wheel drive,4,"Exotic,Performance",Large,Sedan,105,102,1391,79500
6932,Tesla,Model S,2016,electric,382,0,DIRECT_DRIVE,all wheel drive,4,"Exotic,Performance",Large,Sedan,101,98,1391,66000
6933,Tesla,Model S,2016,electric,760,0,DIRECT_DRIVE,all wheel drive,4,"Exotic,High-Performance",Large,Sedan,105,92,1391,134500
6934,Tesla,Model S,2016,electric,382,0,DIRECT_DRIVE,rear wheel drive,4,"Exotic,Performance",Large,Sedan,100,97,1391,74500
6935,Tesla,Model S,2016,electric,518,0,DIRECT_DRIVE,all wheel drive,4,"Exotic,Performance",Large,Sedan,107,101,1391,71000
6936,Tesla,Model S,2016,electric,387,0,DIRECT_DRIVE,all wheel drive,4,"Exotic,Performance",Large,Sedan,102,101,1391,75000
6937,Tesla,Model S,2016,electric,417,0,DIRECT_DRIVE,all wheel drive,4,"Exotic,High-Performance",Large,Sedan,107,101,1391,89500
6938,Tesla,Model S,2016,electric,463,0,DIRECT_DRIVE,all wheel drive,4,"Exotic,High-Performance",Large,Sedan,100,91,1391,112000
6939,Tesla,Model S,2016,electric,315,0,DIRECT_DRIVE,rear wheel drive,4,"Exotic,Performance",Large,Sedan,90,88,1391,70000
